Rank,Stock,Avg_Turnover_Cr,Median_Turnover_Cr,Min_Turnover_Cr,Max_Turnover_Cr,Avg_Volume,Latest_Price,Avg_Spread_%,Trading_Days
1,HDFCBANK,1777.5790945753376,1647.6418700439635,0.0,4995.550634685364,18047233.412698414,1001.5,1.2873686058487535,126
2,RELIANCE,1510.1137979523326,1406.2881771181578,0.0,4236.6186525213625,10455335.325396825,1556.5,1.4247567882048573,126
3,ICICIBANK,1406.8347110714985,1233.9906086455812,0.0,3609.2043926966553,10074502.42857143,1366.0,1.1752413181761279,126
4,BHARTIARTL,1352.177882937946,967.5729863650268,0.0,17433.873146293397,6837638.658730159,2083.39990234375,1.5380438854571363,126
5,TCS,884.405886926237,828.4805187931153,0.0,2660.240782433838,2834375.8095238097,3220.5,1.434180845974058,126
6,SBIN,838.7515128362961,711.8032785271973,0.0,2218.1888232,9633316.896825397,963.1500244140625,1.3513349788020677,126
7,M&M,811.9713724469807,744.3654120609497,0.0,2646.051408,2374942.738095238,3679.60009765625,1.9453167333367247,126
8,AXISBANK,759.0294601069678,643.9103743168945,0.0,4183.242877159058,6542110.126984127,1286.0999755859375,1.5712202874024974,126
9,BAJFINANCE,715.9296089339421,604.5006260747467,0.0,2388.645731807434,7377902.674603174,1017.2999877929688,2.043771867543155,126
10,KOTAKBANK,710.5394371732772,614.0218272497802,0.0,2898.9435272621704,3406484.595238095,2176.60009765625,1.607716284476723,126
11,TATAMOTORS,676.2873042756546,534.7334238859619,0.0,2199.547218375,11744998.396825397,347.45001220703125,2.1539662522830896,126
12,LT,616.4400446961523,523.448509394934,0.0,3210.8692156433103,1648786.888888889,4074.10009765625,1.4895485630553815,126
13,MARUTI,574.5424356058377,478.0253263,0.0,3031.3459108,389940.49206349207,16522.0,1.622022946249919,126
14,TRENT,559.1530016422627,405.70651962490234,0.0,6147.66310375,1092368.4841269841,4075.39990234375,2.2404426224705642,126
15,ITC,496.9064387912289,424.17955869112245,0.0,2612.9867911951355,12125238.42857143,400.1000061035156,1.1529885303321508,126
16,HCLTECH,428.17401655666424,375.09551751904905,0.0,2264.395112035498,2794031.523809524,1673.199951171875,1.7415308382368668,126
17,HEROMOTOCO,407.71642657342477,317.876214175,0.0,4409.4488465,786608.4285714285,5960.0,2.1180619107943595,126
18,HINDUNILVR,400.49953501350075,319.4186403008423,0.0,1810.521088963501,1621752.642857143,2260.60009765625,1.672030578307303,126
19,TATASTEEL,392.976468166718,331.54176756816406,0.0,1450.0078214651091,23528936.34126984,171.88999938964844,1.9269309991499546,126
20,HINDALCO,375.72861607769687,331.7640185421875,0.0,2742.578388328308,5039979.404761905,852.0999755859375,1.8915135910880647,126
